date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:21:01	10701/10701	---M-Z	200	added ('OK')	application/javascript	etag:%2229cd-6258aae38047b-gzip%22	https://themesbrand.com/velzon/html/corporate/assets/js/pages/sweetalerts.init.js	C:/Users/admin/Desktop/themeadmin/themesbrand.com/velzon/html/corporate/assets/js/pages/sweetalerts.init.js	(from https://themesbrand.com/velzon/html/corporate/advance-ui-sweetalerts.html)
23:21:02	44605/44605	---M-Z	200	added ('OK')	application/javascript	etag:%22ae3d-6258aae3e8c7f-gzip%22	https://themesbrand.com/velzon/html/corporate/assets/libs/sortablejs/Sortable.min.js	C:/Users/admin/Desktop/themeadmin/themesbrand.com/velzon/html/corporate/assets/libs/sortablejs/Sortable.min.js	(from https://themesbrand.com/velzon/html/corporate/advance-ui-nestable.html)
23:21:02	505/505	---M-Z	200	added ('OK')	application/javascript	etag:%221f9-607430ffbda60-gzip%22	https://themesbrand.com/velzon/html/corporate/assets/js/pages/nestable.init.js	C:/Users/admin/Desktop/themeadmin/themesbrand.com/velzon/html/corporate/assets/js/pages/nestable.init.js	(from https://themesbrand.com/velzon/html/corporate/advance-ui-nestable.html)
23:21:03	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-607430ffd12e0-gzip%22	https://themesbrand.com/velzon/html/corporate/assets/libs/aos/aos.css	C:/Users/admin/Desktop/themeadmin/themesbrand.com/velzon/html/corporate/assets/libs/aos/aos.css	(from https://themesbrand.com/velzon/html/corporate/advance-ui-animation.html)
23:21:03	8563/8563	---M--	200	added ('OK')	image/png	etag:%222173-607430ffac11f%22	https://themesbrand.com/velzon/html/corporate/assets/images/mac-img.png	C:/Users/admin/Desktop/themeadmin/themesbrand.com/velzon/html/corporate/assets/images/mac-img.png	(from https://themesbrand.com/velzon/html/corporate/advance-ui-animation.html)
23:21:04	14690/14690	---M-Z	200	added ('OK')	application/javascript	etag:%223962-607430ffd12e0-gzip%22	https://themesbrand.com/velzon/html/corporate/assets/libs/aos/aos.js	C:/Users/admin/Desktop/themeadmin/themesbrand.com/velzon/html/corporate/assets/libs/aos/aos.js	(from https://themesbrand.com/velzon/html/corporate/advance-ui-animation.html)
23:21:04	48/48	---M--	200	added ('OK')	application/javascript	etag:%2230-607430ffbab80%22	https://themesbrand.com/velzon/html/corporate/assets/js/pages/animation-aos.init.js	C:/Users/admin/Desktop/themeadmin/themesbrand.com/velzon/html/corporate/assets/js/pages/animation-aos.init.js	(from https://themesbrand.com/velzon/html/corporate/advance-ui-animation.html)
23:21:04	3417/3417	---M-Z	200	added ('OK')	text/css	etag:%22d59-607431003c9a3-gzip%22	https://themesbrand.com/velzon/html/corporate/assets/libs/shepherd.js/css/shepherd.css	C:/Users/admin/Desktop/themeadmin/themesbrand.com/velzon/html/corporate/assets/libs/shepherd.js/css/shepherd.css	(from https://themesbrand.com/velzon/html/corporate/advance-ui-tour.html)
23:21:05	45328/45328	---M-Z	200	added ('OK')	application/javascript	etag:%22b110-6258aae3e7cdf-gzip%22	https://themesbrand.com/velzon/html/corporate/assets/libs/shepherd.js/js/shepherd.min.js	C:/Users/admin/Desktop/themeadmin/themesbrand.com/velzon/html/corporate/assets/libs/shepherd.js/js/shepherd.min.js	(from https://themesbrand.com/velzon/html/corporate/advance-ui-tour.html)
23:21:05	1584/1584	---M-Z	200	added ('OK')	application/javascript	etag:%22630-607430ffbf9a0-gzip%22	https://themesbrand.com/velzon/html/corporate/assets/js/pages/tour.init.js	C:/Users/admin/Desktop/themeadmin/themesbrand.com/velzon/html/corporate/assets/js/pages/tour.init.js	(from https://themesbrand.com/velzon/html/corporate/advance-ui-tour.html)
23:21:06	2994/2994	---M-Z	200	added ('OK')	application/javascript	etag:%22bb2-6258aae38047b-gzip%22	https://themesbrand.com/velzon/html/corporate/assets/js/pages/swiper.init.js	C:/Users/admin/Desktop/themeadmin/themesbrand.com/velzon/html/corporate/assets/js/pages/swiper.init.js	(from https://themesbrand.com/velzon/html/corporate/advance-ui-swiper.html)
23:21:06	14022/14022	---M-Z	200	added ('OK')	application/javascript	etag:%2236c6-607431003ba03-gzip%22	https://themesbrand.com/velzon/html/corporate/assets/libs/rater-js/index.js	C:/Users/admin/Desktop/themeadmin/themesbrand.com/velzon/html/corporate/assets/libs/rater-js/index.js	(from https://themesbrand.com/velzon/html/corporate/advance-ui-ratings.html)
23:21:06	1749/1749	---M-Z	200	added ('OK')	application/javascript	etag:%226d5-607430ffbf9a0-gzip%22	https://themesbrand.com/velzon/html/corporate/assets/js/pages/rating.init.js	C:/Users/admin/Desktop/themeadmin/themesbrand.com/velzon/html/corporate/assets/js/pages/rating.init.js	(from https://themesbrand.com/velzon/html/corporate/advance-ui-ratings.html)
23:21:08	93093/93093	---M--	200	added ('OK')	image/png	etag:%2216ba5-607430ffb9be0%22	https://themesbrand.com/velzon/html/corporate/assets/images/user-illustarator-1.png	C:/Users/admin/Desktop/themeadmin/themesbrand.com/velzon/html/corporate/assets/images/user-illustarator-1.png	(from https://themesbrand.com/velzon/html/corporate/widgets.html)
23:21:08	130770/130770	---M-Z	200	added ('OK')	application/javascript	etag:%221fed2-6258aae38047b-gzip%22	https://themesbrand.com/velzon/html/corporate/assets/js/maps/us-merc-en.js	C:/Users/admin/Desktop/themeadmin/themesbrand.com/velzon/html/corporate/assets/js/maps/us-merc-en.js	(from https://themesbrand.com/velzon/html/corporate/widgets.html)
23:21:08	58666/58666	---M-Z	200	added ('OK')	application/javascript	etag:%22e52a-607430ffdbec0-gzip%22	https://themesbrand.com/velzon/html/corporate/assets/libs/card/card.js	C:/Users/admin/Desktop/themeadmin/themesbrand.com/velzon/html/corporate/assets/libs/card/card.js	(from https://themesbrand.com/velzon/html/corporate/widgets.html)
23:21:09	10875/10875	---M-Z	200	added ('OK')	application/javascript	etag:%222a7b-607430ffbf9a0-gzip%22	https://themesbrand.com/velzon/html/corporate/assets/js/pages/widgets.init.js	C:/Users/admin/Desktop/themeadmin/themesbrand.com/velzon/html/corporate/assets/js/pages/widgets.init.js	(from https://themesbrand.com/velzon/html/corporate/widgets.html)
23:21:10	9004/9004	---M-Z	200	added ('OK')	text/css	etag:%22232c-607430ffd12e0-gzip%22	https://themesbrand.com/velzon/html/corporate/assets/libs/@simonwep/pickr/themes/classic.min.css	C:/Users/admin/Desktop/themeadmin/themesbrand.com/velzon/html/corporate/assets/libs/@simonwep/pickr/themes/classic.min.css	(from https://themesbrand.com/velzon/html/corporate/forms-pickers.html)
23:21:10	9118/9118	---M-Z	200	added ('OK')	text/css	etag:%22239e-607430ffd12e0-gzip%22	https://themesbrand.com/velzon/html/corporate/assets/libs/@simonwep/pickr/themes/monolith.min.css	C:/Users/admin/Desktop/themeadmin/themesbrand.com/velzon/html/corporate/assets/libs/@simonwep/pickr/themes/monolith.min.css	(from https://themesbrand.com/velzon/html/corporate/forms-pickers.html)
